Heure de début,Heure de fin,Nombre de minutes actives,Calories (kcal),Distance (m),Points cardio,Minutes cardio,Basse latitude (°),Basse longitude (°),Haute latitude (°),Haute longitude (°),Vitesse moyenne (m/s),Vitesse maximale (m/s),Vitesse minimale (m/s),Nombre de pas,Poids moyen (kg),Poids maximal (kg),Poids minimal (kg),"Durée de l'activité ""Vélo"" (ms)","Durée de l'activité ""Marche à pied"" (ms)","Durée de l'activité ""Course à pied"" (ms)"
17:45:00.000+02:00,18:00:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
18:00:00.000+02:00,18:15:00.000+02:00,2,21.280322109375,122.53267291616747,1.0,1,,,,,1.3356477567715876,1.3586530592705253,1.31264245427265,169,,,,,91227,
18:15:00.000+02:00,18:30:00.000+02:00,8,43.94766598958333,603.5139566661829,7.0,7,,,,,1.3250802189998652,1.5837351711530547,0.5526062646208383,835,,,,,496642,
18:30:00.000+02:00,18:45:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
18:45:00.000+02:00,19:00:00.000+02:00,5,35.82457996527778,5.782836673127102,5.0,5,,,,,0.3383953049424008,0.3383953049424008,0.3383953049424008,9,,,,328508,,
19:00:00.000+02:00,19:15:00.000+02:00,14,69.01791555555556,273.55853255818784,12.0,12,,,,,1.1452365876856958,1.4111555384308059,0.3242870683138457,387,,,,647464,252536,
19:15:00.000+02:00,19:30:00.000+02:00,11,51.925982803819444,263.3608600342065,5.0,5,,,,,0.8192748955350616,1.3530097003040065,0.3212686857859982,407,,,,345953,269322,
19:30:00.000+02:00,19:45:00.000+02:00,9,50.832972109375,8.995523713753268,9.0,9,,,,,0.3523327041447086,0.3523327041447086,0.3523327041447086,14,,,,579483,,
19:45:00.000+02:00,20:00:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
20:00:00.000+02:00,20:15:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
20:15:00.000+02:00,20:30:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
20:30:00.000+02:00,20:45:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
20:45:00.000+02:00,21:00:00.000+02:00,2,16.1796875,70.0688613837606,,,,,,,0.5151124779817319,0.6074950763103477,0.422729879653116,142,,,,,,
21:00:00.000+02:00,21:15:00.000+02:00,14,53.514058055546094,909.7276812930006,10.0,10,,,,,1.1623655214016562,1.3764776075399652,0.2784328768542679,1275,,,,,667741,
21:15:00.000+02:00,21:30:00.000+02:00,,16.1796875,24.416421508758873,,,,,,,0.32126869540527087,0.32126869540527087,0.32126869540527087,38,,,,,,
21:30:00.000+02:00,21:45:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
21:45:00.000+02:00,22:00:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
22:00:00.000+02:00,22:15:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
22:15:00.000+02:00,22:30:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
22:30:00.000+02:00,22:45:00.000+02:00,,16.1796875,,,,,,,,,,,,,,,,,
22:45:00.000+02:00,23:00:00.000+02:00,6,39.92664458333333,,6.0,6,,,,,,,,,,,,397104,,
23:00:00.000+02:00,23:15:00.000+02:00,5,35.72262037326389,,5.0,5,,,,,,,,,,,,326803,,
23:15:00.000+02:00,23:30:00.000+02:00,4,32.538012682291665,,4.0,4,,,,,,,,30,,,,273549,,
23:30:00.000+02:00,23:45:00.000+02:00,7,42.63296909722222,,7.0,7,,,,,,,,,,,,442360,,
23:45:00.000+02:00,00:00:00.000+02:00,,16.179687500000004,,,,,,,,,,,,,,,,,
