Heure de début,Heure de fin,Nombre de minutes actives,Calories (kcal),Distance (m),Points cardio,Minutes cardio,Vitesse moyenne (m/s),Vitesse maximale (m/s),Vitesse minimale (m/s),Nombre de pas,Poids moyen (kg),Poids maximal (kg),Poids minimal (kg),"Durée de l'activité ""Marche à pied"" (ms)","Durée de l'activité ""Course à pied"" (ms)"
19:45:00.000+02:00,20:00:00.000+02:00,9,36.50288847903368,413.85328369105207,,,0.8048113234353238,1.2142212390899658,0.3237506151199341,624,,,,362794,
20:00:00.000+02:00,20:15:00.000+02:00,3,28.645040643120012,168.89006300007952,,,0.3480639838282006,0.9009292125701904,0.2590004801750183,294,,,,222072,
20:15:00.000+02:00,20:30:00.000+02:00,9,33.30643262491732,299.06414800418446,,,0.5965304087303719,1.0682538747787476,0.30366405844688416,475,,,,305550,
20:30:00.000+02:00,20:45:00.000+02:00,13,57.753502400363814,685.7779693053858,,,0.8978628948364482,1.1972360610961914,0.3237505853176117,1033,,,,743362,
20:45:00.000+02:00,21:00:00.000+02:00,,16.24479049202054,,,,,,,,,,,,
21:00:00.000+02:00,21:15:00.000+02:00,,16.24479049202054,,,,,,,,,,,,
21:15:00.000+02:00,21:30:00.000+02:00,,16.24479049202054,,,,,,,,,,,,
21:30:00.000+02:00,21:45:00.000+02:00,,16.24479049202054,,,,,,,,,,,,
21:45:00.000+02:00,22:00:00.000+02:00,,16.244791955943395,,,,,,,,,,,,
22:00:00.000+02:00,22:15:00.000+02:00,,16.244792254829633,,,,,,,,,,,,
22:15:00.000+02:00,22:30:00.000+02:00,,16.244792254829633,,,,,,,,,,,,
22:30:00.000+02:00,22:45:00.000+02:00,,16.244792254829633,,,,,,,,,,,,
22:45:00.000+02:00,23:00:00.000+02:00,,16.244792254829633,,,,,,,,,,,,
23:00:00.000+02:00,23:15:00.000+02:00,,16.244792254829633,,,,,,,,,,,,
23:15:00.000+02:00,23:30:00.000+02:00,,16.244792254829633,,,,,,,,,,,,
23:30:00.000+02:00,23:45:00.000+02:00,,16.244792254829633,,,,,,,,,,,,
23:45:00.000+02:00,00:00:00.000+02:00,,16.244792254829633,,,,,,,,,,,,
